date,18:00,19:00,20:00
2/18/2019,37.00000,36.90000,36.30000
2/19/2019,37.80000,38.40000,38.20000
2/20/2019,37.40000,37.00000,35.70000
2/21/2019,39.60000,39.20000,38.50000
2/22/2019,40.40000,39.60000,38.80000
2/23/2019,41.80000,41.60000,40.80000
2/24/2019,38.50000,38.20000,35.90000
2/25/2019,44.20000,42.60000,42.20000
2/26/2019,47.60000,45.80000,44.20000
2/27/2019,52.00000,47.50000,46.00000
2/28/2019,40.40000,40.50000,39.40000
3/1/2019,43.50000,40.70000,40.50000
3/2/2019,38.20000,37.80000,38.10000
3/3/2019,38.10000,37.90000,34.20000
3/4/2019,43.70000,42.10000,40.50000
3/5/2019,48.40000,46.20000,45.90000
3/6/2019,47.10000,46.50000,45.90000
3/7/2019,47.00000,47.10000,46.40000
3/8/2019,45.30000,45.10000,45.90000
3/9/2019,46.60000,46.40000,44.60000
3/10/2019,42.20000,41.60000,38.10000
3/11/2019,43.70000,45.00000,44.50000
3/12/2019,42.30000,42.80000,42.80000
3/13/2019,44.90000,44.30000,43.90000
3/14/2019,44.40000,43.40000,41.00000
3/15/2019,43.40000,43.80000,44.00000
3/16/2019,41.90000,41.60000,42.10000
3/17/2019,42.30000,42.20000,36.30000
3/18/2019,46.60000,45.20000,45.70000
3/19/2019,47.30000,47.80000,47.80000
3/20/2019,45.20000,45.30000,45.60000
3/21/2019,45.60000,45.20000,45.50000
3/22/2019,42.70000,43.80000,43.40000
3/23/2019,44.90000,44.40000,45.50000
3/24/2019,41.90000,41.50000,38.20000
3/25/2019,45.20000,44.70000,44.60000
3/26/2019,43.20000,41.50000,41.50000
3/27/2019,46.60000,46.00000,45.70000
3/28/2019,45.30000,44.10000,43.30000
3/29/2019,51.80000,46.40000,45.30000
3/30/2019,44.20000,43.30000,43.30000
3/31/2019,42.00000,42.30000,38.70000
4/1/2019,41.10000,40.10000,39.50000
4/2/2019,32.60000,30.50000,30.30000
4/3/2019,42.50000,42.30000,41.10000
4/4/2019,43.80000,43.40000,43.30000
4/5/2019,41.90000,41.30000,41.70000
4/6/2019,42.60000,42.60000,42.70000
4/7/2019,40.30000,36.10000,35.80000
4/8/2019,39.50000,39.50000,38.90000
4/9/2019,34.10000,33.50000,32.80000
4/10/2019,41.90000,40.50000,39.70000
4/11/2019,42.20000,41.60000,41.10000
4/12/2019,43.00000,42.30000,42.50000
4/13/2019,39.50000,39.90000,39.30000
4/14/2019,40.20000,38.10000,37.40000
4/15/2019,42.30000,42.10000,41.60000
